EC:1 	 GO:0016491
EC:1.1.1.247 	 GO:0047036
EC:1.1.1.248 	 GO:0047037
EC:1.1.1.25 	 GO:0004764
EC:1.1.1.250 	 GO:0047038
EC:1.1.1.251 	 GO:0008868
EC:1.1.1.252 	 GO:0047039
EC:1.1.1.254 	 GO:0047041
EC:1.1.1.255 	 GO:0046029
EC:1.1.1.256 	 GO:0018461
EC:1.1.1.257 	 GO:0018462
EC:1.1.1.258 	 GO:0018463
EC:1.1.1.259 	 GO:0018464
EC:1.1.1.26 	 GO:0047964
EC:1.1.1.260 	 GO:0050491
EC:1.1.1.261 	 GO:0050492
EC:1.1.1.262 	 GO:0050570
EC:1.1.1.263 	 GO:0050571
EC:1.1.1.264 	 GO:0050572
EC:1.1.1.265 	 GO:0046568
EC:1.1.1.266 	 GO:0050573
EC:1.1.1.267 	 GO:0030604
EC:1.1.1.268 	 GO:0050574
EC:1.1.1.269 	 GO:0050575
EC:1.1.1.27 	 GO:0004459
EC:1.1.1.270 	 GO:0000253
EC:1.1.1.271 	 GO:0050577
EC:1.1.1.272 	 GO:0050578
EC:1.1.1.273 	 GO:0050579
EC:1.1.1.274 	 GO:0050580
EC:1.1.1.275 	 GO:0033702
EC:1.1.1.276 	 GO:0031132
EC:1.1.1.277 	 GO:0033703
EC:1.1.1.278 	 GO:0033704
EC:1.1.1.279 	 GO:0047108
EC:1.1.1.28 	 GO:0008720
EC:1.1.1.280 	 GO:0047109
EC:1.1.1.281 	 GO:0033705
EC:1.1.1.282 	 GO:0004764
EC:1.1.1.282 	 GO:0030266
EC:1.1.1.282 	 GO:0052733
EC:1.1.1.282 	 GO:0052734
EC:1.1.1.283 	 GO:0043892
EC:1.1.1.284 	 GO:0051903
EC:1.1.1.285 	 GO:0033707
EC:1.1.1.286 	 GO:0033708
EC:1.1.1.288 	 GO:0010301
EC:1.1.1.289 	 GO:0032115
EC:1.1.1.29 	 GO:0008465
EC:1.1.1.290 	 GO:0033711
EC:1.1.1.291 	 GO:0043718
EC:1.1.1.292 	 GO:0033712
EC:1.1.1.294 	 GO:0034256
EC:1.1.1.298 	 GO:0035527
EC:1.1.1.3 	 GO:0004412
EC:1.1.1.30 	 GO:0003858
EC:1.1.1.300 	 GO:0052650
EC:1.1.1.303 	 GO:0052587
EC:1.1.1.304 	 GO:0052588
EC:1.1.1.31 	 GO:0008442
EC:1.1.1.312 	 GO:0050606
EC:1.1.1.32 	 GO:0019727
EC:1.1.1.33 	 GO:0019726
EC:1.1.1.34 	 GO:0004420
EC:1.1.1.35 	 GO:0003857
EC:1.1.1.36 	 GO:0018454
EC:1.1.1.37 	 GO:0030060
EC:1.1.1.38 	 GO:0016619
EC:1.1.1.39 	 GO:0004471
EC:1.1.1.4 	 GO:0000721
EC:1.1.1.40 	 GO:0004473
EC:1.1.1.41 	 GO:0004449
EC:1.1.1.42 	 GO:0004450
EC:1.1.1.43 	 GO:0008114
EC:1.1.1.44 	 GO:0004616
EC:1.1.1.45 	 GO:0050104
EC:1.1.1.46 	 GO:0050022
EC:1.1.1.47 	 GO:0047936
EC:1.1.1.48 	 GO:0019151
EC:1.1.1.49 	 GO:0004345
EC:1.1.1.50 	 GO:0047042
EC:1.1.1.51 	 GO:0030283
EC:1.1.1.52 	 GO:0047043
EC:1.1.1.53 	 GO:0047044
EC:1.1.1.54 	 GO:0047655
EC:1.1.1.55 	 GO:0050039
EC:1.1.1.56 	 GO:0050255
EC:1.1.1.57 	 GO:0008866
EC:1.1.1.58 	 GO:0009026
EC:1.1.1.59 	 GO:0047565
EC:1.1.1.6 	 GO:0008888
EC:1.1.1.60 	 GO:0008679
EC:1.1.1.61 	 GO:0047577
EC:1.1.1.62 	 GO:0004303
EC:1.1.1.64 	 GO:0047045
EC:1.1.1.65 	 GO:0050236
EC:1.1.1.66 	 GO:0050153
EC:1.1.1.67 	 GO:0050086
EC:1.1.1.69 	 GO:0008874
EC:1.1.1.7 	 GO:0050216
EC:1.1.1.71 	 GO:0018455
EC:1.1.1.72 	 GO:0047956
EC:1.1.1.73 	 GO:0004552
EC:1.1.1.75 	 GO:0019147
EC:1.1.1.76 	 GO:0047512
EC:1.1.1.77 	 GO:0008912
EC:1.1.1.78 	 GO:0019170
EC:1.1.1.79 	 GO:0030267
EC:1.1.1.8 	 GO:0004367
EC:1.1.1.80 	 GO:0050009
EC:1.1.1.81 	 GO:0016618
EC:1.1.1.82 	 GO:0046554
EC:1.1.1.83 	 GO:0046553
EC:1.1.1.84 	 GO:0047867
EC:1.1.1.85 	 GO:0003862
EC:1.1.1.86 	 GO:0004455
EC:1.1.1.87 	 GO:0047046
EC:1.1.1.88 	 GO:0042282
EC:1.1.1.9 	 GO:0046526
EC:1.1.1.90 	 GO:0018456
EC:1.1.1.91 	 GO:0047681
EC:1.1.1.92 	 GO:0047047
EC:1.1.1.93 	 GO:0009027
EC:1.1.1.94 	 GO:0004367
EC:1.1.1.94 	 GO:0036439
EC:1.1.1.94 	 GO:0047952
EC:1.1.1.95 	 GO:0004617
EC:1.1.1.96 	 GO:0047860
EC:1.1.1.97 	 GO:0047048
EC:1.1.1.98 	 GO:0047049
EC:1.1.1.99 	 GO:0047050
EC:1.1.2 	 GO:0016898
EC:1.1.2.2 	 GO:0050087
EC:1.1.2.3 	 GO:0004460
EC:1.1.2.4 	 GO:0004458
EC:1.1.2.5 	 GO:0047051
EC:1.1.2.6 	 GO:0047059
EC:1.1.2.7 	 GO:0052930
EC:1.1.2.7 	 GO:0052931
EC:1.1.2.7 	 GO:0052932
EC:1.1.2.7 	 GO:0052933
EC:1.1.2.8 	 GO:0052934
EC:1.1.2.8 	 GO:0052935
EC:1.1.2.8 	 GO:0052936
EC:1.1.3 	 GO:0016899
EC:1.1.3.10 	 GO:0050233
EC:1.1.3.11 	 GO:0050035
EC:1.1.3.12 	 GO:0050237
EC:1.1.3.13 	 GO:0047639
EC:1.1.3.14 	 GO:0047731
EC:1.1.3.15 	 GO:0003973
EC:1.1.3.15 	 GO:0052852
EC:1.1.3.15 	 GO:0052853
EC:1.1.3.15 	 GO:0052854
EC:1.1.3.16 	 GO:0047875
EC:1.1.3.17 	 GO:0033713
EC:1.1.3.18 	 GO:0033714
EC:1.1.3.19 	 GO:0047579
EC:1.1.3.20 	 GO:0046577
EC:1.1.3.21 	 GO:0004369
EC:1.1.3.23 	 GO:0050423
EC:1.1.3.27 	 GO:0047996
EC:1.1.3.28 	 GO:0033715
EC:1.1.3.29 	 GO:0050122
EC:1.1.3.3 	 GO:0019157
EC:1.1.3.30 	 GO:0050209
EC:1.1.3.37 	 GO:0003885
EC:1.1.3.38 	 GO:0018465
EC:1.1.3.39 	 GO:0033716
EC:1.1.3.4 	 GO:0046562
EC:1.1.3.40 	 GO:0050581
EC:1.1.3.41 	 GO:0050582
EC:1.1.3.5 	 GO:0047979
EC:1.1.3.6 	 GO:0016995
EC:1.1.3.7 	 GO:0047682
EC:1.1.3.8 	 GO:0050105
EC:1.1.3.9 	 GO:0045480
EC:1.1.4 	 GO:0016900
EC:1.1.4.1 	 GO:0047057
EC:1.1.4.2 	 GO:0047058
EC:1.1.5 	 GO:0016901
EC:1.1.5.2 	 GO:0008876
EC:1.1.5.3 	 GO:0004368
EC:1.1.5.3 	 GO:0052590
EC:1.1.5.3 	 GO:0052591
EC:1.1.5.4 	 GO:0008924
EC:1.1.5.4 	 GO:0052589
EC:1.1.5.6 	 GO:0036397
EC:1.1.5.8 	 GO:0047519
EC:1.1.98.2 	 GO:0052749
EC:1.1.99.1 	 GO:0008812
EC:1.1.99.10 	 GO:0004344
EC:1.1.99.11 	 GO:0047904
EC:1.1.99.12 	 GO:0050288
EC:1.1.99.13 	 GO:0033757
EC:1.1.99.14 	 GO:0019154
EC:1.1.99.18 	 GO:0047735
EC:1.1.99.2 	 GO:0047545
EC:1.1.99.20 	 GO:0047645
EC:1.1.99.21 	 GO:0047833
EC:1.1.99.22 	 GO:0047955
EC:1.1.99.24 	 GO:0047988
EC:1.1.99.26 	 GO:0047564
EC:1.1.99.27 	 GO:0047060
EC:1.1.99.28 	 GO:0047061
EC:1.1.99.29 	 GO:0033718
EC:1.1.99.3 	 GO:0033717
EC:1.1.99.30 	 GO:0033719
EC:1.1.99.31 	 GO:0033720
EC:1.1.99.4 	 GO:0047843
EC:1.1.99.6 	 GO:0047809
EC:1.1.99.7 	 GO:0050042
EC:1.1.99.8 	 GO:0018468
EC:1.1.99.9 	 GO:0050238
EC:1.10 	 GO:0016679
EC:1.10.1 	 GO:0016680
EC:1.10.1.1 	 GO:0047062
EC:1.10.2 	 GO:0016681
EC:1.10.2.1 	 GO:0047063
EC:1.10.2.2 	 GO:0008121
EC:1.10.3 	 GO:0016682
EC:1.10.3.1 	 GO:0004097
EC:1.10.3.2 	 GO:0052716
EC:1.10.3.3 	 GO:0008447
